measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
100008;DATAINN;E;2017-01-01T00:00+01:00[Europe/Oslo];1;1.0;10;9;1;1;0;0;0
100008;DATAINN;E;2017-01-01T00:00+01:00[Europe/Oslo];2;1.0;10;10;0;0;0;0;0
100008;DATAINN;E;2017-01-01T00:00+01:00[Europe/Oslo];3;1.0;142;138;4;0;1;0;3
100008;DATAINN;E;2017-01-01T00:00+01:00[Europe/Oslo];4;1.0;125;122;3;1;2;0;0
100008;DATAINN;E;2017-01-01T01:00+01:00[Europe/Oslo];1;1.0;29;29;0;0;0;0;0
100008;DATAINN;E;2017-01-01T01:00+01:00[Europe/Oslo];2;1.0;26;26;0;0;0;0;0
100008;DATAINN;E;2017-01-01T01:00+01:00[Europe/Oslo];3;1.0;195;186;9;3;1;2;3
100008;DATAINN;E;2017-01-01T01:00+01:00[Europe/Oslo];4;1.0;221;218;3;1;1;1;0
100008;DATAINN;E;2017-01-01T02:00+01:00[Europe/Oslo];1;1.0;14;13;1;0;0;1;0
100008;DATAINN;E;2017-01-01T02:00+01:00[Europe/Oslo];2;1.0;7;6;1;1;0;0;0
100008;DATAINN;E;2017-01-01T02:00+01:00[Europe/Oslo];3;1.0;126;118;8;0;2;2;4
100008;DATAINN;E;2017-01-01T02:00+01:00[Europe/Oslo];4;1.0;148;143;5;2;1;1;1
100008;DATAINN;E;2017-01-01T03:00+01:00[Europe/Oslo];1;1.0;2;2;0;0;0;0;0
100008;DATAINN;E;2017-01-01T03:00+01:00[Europe/Oslo];2;1.0;7;7;0;0;0;0;0
100008;DATAINN;E;2017-01-01T03:00+01:00[Europe/Oslo];3;1.0;79;65;14;3;1;2;8
100008;DATAINN;E;2017-01-01T03:00+01:00[Europe/Oslo];4;1.0;77;74;3;0;0;0;3
100008;DATAINN;E;2017-01-01T04:00+01:00[Europe/Oslo];1;1.0;3;3;0;0;0;0;0
100008;DATAINN;E;2017-01-01T04:00+01:00[Europe/Oslo];2;1.0;1;1;0;0;0;0;0
100008;DATAINN;E;2017-01-01T04:00+01:00[Europe/Oslo];3;1.0;54;45;9;1;0;1;7
100008;DATAINN;E;2017-01-01T04:00+01:00[Europe/Oslo];4;1.0;52;50;2;0;0;0;2
100008;DATAINN;E;2017-01-01T05:00+01:00[Europe/Oslo];1;1.0;2;2;0;0;0;0;0
100008;DATAINN;E;2017-01-01T05:00+01:00[Europe/Oslo];2;1.0;3;3;0;0;0;0;0
100008;DATAINN;E;2017-01-01T05:00+01:00[Europe/Oslo];3;1.0;42;37;5;0;0;1;4
100008;DATAINN;E;2017-01-01T05:00+01:00[Europe/Oslo];4;1.0;30;27;3;1;0;2;0
100008;DATAINN;E;2017-01-01T06:00+01:00[Europe/Oslo];1;1.0;2;2;0;0;0;0;0
100008;DATAINN;E;2017-01-01T06:00+01:00[Europe/Oslo];2;1.0;1;1;0;0;0;0;0
100008;DATAINN;E;2017-01-01T06:00+01:00[Europe/Oslo];3;1.0;44;39;5;1;0;0;4
100008;DATAINN;E;2017-01-01T06:00+01:00[Europe/Oslo];4;1.0;45;40;5;1;0;2;2
