measure_point_number;source;road_category;interval_start;lane;completeness;[..,..);[..,5.6);[5.6,..);[5.6,7.6);[7.6,12.5);[12.5,16.0);[16.0,..)
300233;DATAINN;R;2018-06-13T14:00+02:00[Europe/Oslo];1;1.0;1030;959;71;47;16;1;7
300233;DATAINN;R;2018-06-13T14:00+02:00[Europe/Oslo];2;1.0;1425;1268;156;125;24;3;4
300233;DATAINN;R;2018-06-13T14:00+02:00[Europe/Oslo];3;1.0;1296;1045;251;94;82;28;47
300233;DATAINN;R;2018-06-13T14:00+02:00[Europe/Oslo];4;1.0;1456;1222;234;73;89;37;35
300233;DATAINN;R;2018-06-13T15:00+02:00[Europe/Oslo];1;1.0;1456;1398;58;33;18;1;6
300233;DATAINN;R;2018-06-13T15:00+02:00[Europe/Oslo];2;1.0;1445;1275;167;111;41;9;6
300233;DATAINN;R;2018-06-13T15:00+02:00[Europe/Oslo];3;1.0;1380;1197;183;62;61;23;37
300233;DATAINN;R;2018-06-13T15:00+02:00[Europe/Oslo];4;1.0;1294;1147;147;48;60;14;25
300233;DATAINN;R;2018-06-13T16:00+02:00[Europe/Oslo];1;1.0;1369;1318;51;32;12;2;5
300233;DATAINN;R;2018-06-13T16:00+02:00[Europe/Oslo];2;1.0;1205;1074;131;101;27;2;1
300233;DATAINN;R;2018-06-13T16:00+02:00[Europe/Oslo];3;1.0;1391;1247;144;47;44;25;28
300233;DATAINN;R;2018-06-13T16:00+02:00[Europe/Oslo];4;1.0;1282;1115;167;56;62;27;22
300233;DATAINN;R;2018-06-13T17:00+02:00[Europe/Oslo];1;1.0;927;891;36;27;6;0;3
300233;DATAINN;R;2018-06-13T17:00+02:00[Europe/Oslo];2;1.0;1075;971;104;76;25;2;1
300233;DATAINN;R;2018-06-13T17:00+02:00[Europe/Oslo];3;1.0;1265;1119;146;54;49;20;23
300233;DATAINN;R;2018-06-13T17:00+02:00[Europe/Oslo];4;1.0;1281;1109;172;53;56;27;36
300233;DATAINN;R;2018-06-13T18:00+02:00[Europe/Oslo];1;1.0;639;611;28;13;10;4;1
300233;DATAINN;R;2018-06-13T18:00+02:00[Europe/Oslo];2;1.0;789;713;76;58;17;0;1
300233;DATAINN;R;2018-06-13T18:00+02:00[Europe/Oslo];3;1.0;1116;985;131;54;35;22;20
300233;DATAINN;R;2018-06-13T18:00+02:00[Europe/Oslo];4;1.0;1267;1100;167;50;66;29;22
300233;DATAINN;R;2018-06-13T19:00+02:00[Europe/Oslo];1;1.0;486;470;16;11;5;0;0
300233;DATAINN;R;2018-06-13T19:00+02:00[Europe/Oslo];2;1.0;574;519;55;41;14;0;0
300233;DATAINN;R;2018-06-13T19:00+02:00[Europe/Oslo];3;1.0;1027;918;109;28;44;17;20
300233;DATAINN;R;2018-06-13T19:00+02:00[Europe/Oslo];4;1.0;1155;1043;112;33;55;16;8
300233;DATAINN;R;2018-06-13T20:00+02:00[Europe/Oslo];1;1.0;402;390;12;6;6;0;0
300233;DATAINN;R;2018-06-13T20:00+02:00[Europe/Oslo];2;1.0;450;427;23;17;6;0;0
300233;DATAINN;R;2018-06-13T20:00+02:00[Europe/Oslo];3;1.0;899;820;79;23;28;14;14
300233;DATAINN;R;2018-06-13T20:00+02:00[Europe/Oslo];4;1.0;1005;920;85;26;40;9;10
300233;DATAINN;R;2018-06-13T21:00+02:00[Europe/Oslo];1;1.0;368;355;13;5;7;0;1
300233;DATAINN;R;2018-06-13T21:00+02:00[Europe/Oslo];2;1.0;353;331;22;15;5;0;2
300233;DATAINN;R;2018-06-13T21:00+02:00[Europe/Oslo];3;1.0;836;769;67;26;27;2;12
300233;DATAINN;R;2018-06-13T21:00+02:00[Europe/Oslo];4;1.0;886;806;80;24;35;7;14
300233;DATAINN;R;2018-06-13T22:00+02:00[Europe/Oslo];1;1.0;199;193;6;3;1;0;2
300233;DATAINN;R;2018-06-13T22:00+02:00[Europe/Oslo];2;1.0;266;244;21;15;3;1;2
300233;DATAINN;R;2018-06-13T22:00+02:00[Europe/Oslo];3;1.0;596;541;55;19;20;4;12
300233;DATAINN;R;2018-06-13T22:00+02:00[Europe/Oslo];4;1.0;729;679;50;15;15;6;14
300233;DATAINN;R;2018-06-13T23:00+02:00[Europe/Oslo];1;1.0;72;71;1;1;0;0;0
300233;DATAINN;R;2018-06-13T23:00+02:00[Europe/Oslo];2;1.0;60;51;9;5;3;0;1
300233;DATAINN;R;2018-06-13T23:00+02:00[Europe/Oslo];3;1.0;352;318;34;13;6;5;10
300233;DATAINN;R;2018-06-13T23:00+02:00[Europe/Oslo];4;1.0;365;331;34;19;5;2;8
300233;DATAINN;R;2018-06-14T00:00+02:00[Europe/Oslo];1;1.0;12;12;0;0;0;0;0
300233;DATAINN;R;2018-06-14T00:00+02:00[Europe/Oslo];2;1.0;23;17;6;4;0;0;2
300233;DATAINN;R;2018-06-14T00:00+02:00[Europe/Oslo];3;1.0;168;145;23;8;5;2;8
300233;DATAINN;R;2018-06-14T00:00+02:00[Europe/Oslo];4;1.0;201;166;35;7;8;3;17
300233;DATAINN;R;2018-06-14T01:00+02:00[Europe/Oslo];1;1.0;10;10;0;0;0;0;0
300233;DATAINN;R;2018-06-14T01:00+02:00[Europe/Oslo];2;1.0;19;16;3;2;0;1;0
300233;DATAINN;R;2018-06-14T01:00+02:00[Europe/Oslo];3;1.0;118;103;15;10;1;0;4
300233;DATAINN;R;2018-06-14T01:00+02:00[Europe/Oslo];4;1.0;163;116;47;11;6;4;26
300233;DATAINN;R;2018-06-14T02:00+02:00[Europe/Oslo];1;1.0;4;4;0;0;0;0;0
300233;DATAINN;R;2018-06-14T02:00+02:00[Europe/Oslo];2;1.0;12;10;1;0;1;0;0
300233;DATAINN;R;2018-06-14T02:00+02:00[Europe/Oslo];3;1.0;65;47;18;9;6;0;3
300233;DATAINN;R;2018-06-14T02:00+02:00[Europe/Oslo];4;1.0;93;70;23;6;5;1;11
300233;DATAINN;R;2018-06-14T03:00+02:00[Europe/Oslo];1;1.0;10;10;0;0;0;0;0
300233;DATAINN;R;2018-06-14T03:00+02:00[Europe/Oslo];2;1.0;8;8;0;0;0;0;0
300233;DATAINN;R;2018-06-14T03:00+02:00[Europe/Oslo];3;1.0;59;35;24;14;4;1;5
300233;DATAINN;R;2018-06-14T03:00+02:00[Europe/Oslo];4;1.0;94;67;27;6;9;3;9
300233;DATAINN;R;2018-06-14T04:00+02:00[Europe/Oslo];1;1.0;14;11;3;2;1;0;0
300233;DATAINN;R;2018-06-14T04:00+02:00[Europe/Oslo];2;1.0;9;7;2;1;1;0;0
300233;DATAINN;R;2018-06-14T04:00+02:00[Europe/Oslo];3;1.0;85;64;21;11;6;2;2
300233;DATAINN;R;2018-06-14T04:00+02:00[Europe/Oslo];4;1.0;165;122;43;13;11;3;16
300233;DATAINN;R;2018-06-14T05:00+02:00[Europe/Oslo];1;1.0;66;65;1;1;0;0;0
300233;DATAINN;R;2018-06-14T05:00+02:00[Europe/Oslo];2;1.0;72;65;7;5;2;0;0
300233;DATAINN;R;2018-06-14T05:00+02:00[Europe/Oslo];3;1.0;291;229;62;14;24;4;20
300233;DATAINN;R;2018-06-14T05:00+02:00[Europe/Oslo];4;1.0;419;343;76;22;22;7;25
300233;DATAINN;R;2018-06-14T06:00+02:00[Europe/Oslo];1;1.0;1041;1003;38;24;11;2;1
300233;DATAINN;R;2018-06-14T06:00+02:00[Europe/Oslo];2;1.0;678;619;59;52;6;0;1
300233;DATAINN;R;2018-06-14T06:00+02:00[Europe/Oslo];3;1.0;1181;953;228;65;114;21;28
300233;DATAINN;R;2018-06-14T06:00+02:00[Europe/Oslo];4;1.0;983;862;121;31;59;13;18
300233;DATAINN;R;2018-06-14T07:00+02:00[Europe/Oslo];1;1.0;1699;1619;80;51;19;10;0
300233;DATAINN;R;2018-06-14T07:00+02:00[Europe/Oslo];2;1.0;1385;1283;101;81;19;1;0
300233;DATAINN;R;2018-06-14T07:00+02:00[Europe/Oslo];3;1.0;1447;1190;256;97;95;26;38
300233;DATAINN;R;2018-06-14T07:00+02:00[Europe/Oslo];4;1.0;1368;1174;194;67;68;25;34
300233;DATAINN;R;2018-06-14T08:00+02:00[Europe/Oslo];1;1.0;1671;1572;99;71;19;6;3
300233;DATAINN;R;2018-06-14T08:00+02:00[Europe/Oslo];2;1.0;1381;1301;80;63;10;5;2
300233;DATAINN;R;2018-06-14T08:00+02:00[Europe/Oslo];3;1.0;1163;953;209;54;88;27;40
300233;DATAINN;R;2018-06-14T08:00+02:00[Europe/Oslo];4;1.0;1445;1231;214;57;85;33;39
300233;DATAINN;R;2018-06-14T09:00+02:00[Europe/Oslo];1;1.0;1262;1156;106;80;19;5;2
